,Unnamed: 0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,depend
716,717,0.0,43.0,3.0,1.0,4.0,0.5,1.0,9.0,79.5,14.8,8.8,0.0,9.0,4.0,0.0,0.0,2.5,4.0,195.7,18.4,6.5,12.0,2.7,0.0,1.0,0.24,1.0,0.4,0.0,0.22,0.11,0.0,0.0,13.0,1.5,7.2,0.0,1.0,0.69,0.55,0
717,718,1.0,44.0,5.0,1.0,3.0,1.0,0.0,5.0,49.8,16.0,9.9,0.0,16.0,6.2,0.0,2.0,1.85,3.0,414.0,12.5,7.8,48.0,6.3,0.0,0.0,0.11,1.0,0.12,0.0,0.4,0.4,1.0,0.0,48.0,5.0,19.6,1.0,1.0,0.33,0.28,0
718,719,0.0,38.0,2.0,1.0,4.0,0.5,0.0,3.0,12.2,20.0,4.0,0.0,6.0,0.8,0.0,0.0,6.1,55.0,1444.7,11.7,10.1,46.5,1.0,0.96,0.0,0.03,0.45,0.0,0.0,0.33,0.33,0.41,0.0,6.0,1.0,0.8,0.0,0.0,1.0,1.0,0
719,720,1.0,30.5,4.0,0.0,4.0,0.0,0.0,3.0,24.0,30.0,8.0,0.0,10.0,3.7,1.0,0.0,1.4,2.0,151.9,9.8,2.5,14.0,2.0,0.0,0.0,0.45,1.0,0.47,0.25,0.33,0.33,0.5,0.0,10.0,1.0,3.7,0.5,0.0,1.0,1.0,0
720,721,1.0,44.0,3.0,1.0,1.0,0.0,1.0,3.0,10.9,15.3,3.6,0.0,8.0,1.8,0.5,1.5,4.9,28.0,1110.7,24.6,6.2,36.0,1.9,0.42,1.0,0.045,0.1,0.0,0.0,0.0,0.0,0.41,0.0,33.0,4.0,14.4,1.0,0.0,0.24,0.12,0
721,722,1.0,42.0,3.0,1.0,1.0,0.0,0.0,9.0,35.2,6.8,3.9,0.0,11.0,4.7,1.0,5.0,1.25,13.0,430.4,11.0,5.5,34.0,2.6,0.605,0.0,0.07,0.69,0.08,0.0,0.0,0.11,0.22,0.0,15.0,2.0,8.3,0.0,1.0,0.73,0.56,0
722,723,1.0,50.0,3.5,0.0,4.0,0.0,0.0,4.0,28.9,28.7,7.2,0.0,14.0,5.0,1.0,0.0,1.7,7.0,367.7,14.35,4.1,49.0,1.4,0.57,0.0,0.08,0.57,0.07,0.0,0.5,0.25,0.71,0.0,14.0,1.0,5.0,1.0,2.0,1.0,1.0,0
723,724,0.0,63.0,2.0,0.0,2.0,0.0,0.0,5.0,20.8,9.6,7.4,0.0,3.0,4.3,0.0,0.0,1.3,5.0,309.0,7.8,4.25,51.0,2.4,0.6,0.0,0.145,1.0,0.07,0.0,0.0,0.0,0.205,0.0,5.0,2.0,5.5,1.0,1.0,0.6,0.73,0
724,725,1.0,50.0,4.5,0.0,4.0,0.0,0.0,0.0,0.0,0.0,7.35,0.0,15.0,4.25,0.0,0.0,1.9,4.0,183.8,10.1,4.7,20.0,1.5,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.125,0.0,21.5,1.0,4.7,0.0,2.0,1.0,1.0,0
725,726,1.0,48.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,9.7,0.0,0.0,1.0,1.0,34.0,19.7,8.5,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.25,0.0,14.0,1.0,9.7,1.0,0.0,1.0,1.0,0
